"name","comm_code","census_year","population","occupied dwellings","persons per unit","notes"
"TARADALE","TAR","2017","18,925","4,796","3.95",
"GARRISON GREEN","GAG","2017","2,093","710","2.95",
"CHAPARRAL","CHA","2017","12,964","4,133","3.14",
"GREENVIEW","GRV","2017","2,036","1,032","1.97",
"REDSTONE","RSN","2017","3,392","966","3.51",
"CHINATOWN","CHN","2017","2,124","1,436","1.48",
"QUEENSLAND","QLD","2017","4,787","1,836","2.61",
"DOWNTOWN WEST END","DNW","2017","2,456","1,414","1.74",
"PALLISER","PAL","2017","3,484","1,750","1.99",
"QUEENS PARK VILLAGE","QPK","2017","430","181","2.38",
"UPPER MOUNT ROYAL","UMR","2017","2,467","991","2.49",
"EAU CLAIRE","EAU","2017","1,494","921","1.62",
"DOVER","DOV","2017","10,484","4,520","2.32",
"RUNDLE","RUN","2017","11,558","3,606","3.21",
"MANCHESTER","MAN","2017","1,052","499","2.11",
"ROYAL OAK","ROY","2017","11,682","4,001","2.92",
"SUNDANCE","SDC","2017","9,994","3,345","2.99",
"STRATHCONA PARK","STR","2017","7,043","2,404","2.93",
"CHINOOK PARK","CHK","2017","1,663","568","2.93",
"FOREST HEIGHTS","FHT","2017","6,406","2,124","3.02",
"PARKDALE","PKD","2017","2,565","984","2.61",
"HAYSBORO","HAY","2017","7,076","3,417","2",
"SOUTHVIEW","SOV","2017","1,841","776","2.37",
"BELVEDERE","BVD","2017","46","14","3.29",
"UNIVERSITY OF CALGARY","UOC","2017","2,057","9","228.56","Community boundaries were changed to create UNIVERSITY DISTRICT (UND)"
"COPPERFIELD","CPF","2017","13,017","4,715","2.76",
"WEST SPRINGS","WSP","2017","10,031","3,131","3.2",
"BANKVIEW","BNK","2017","5,090","3,046","1.67",
"ACADIA","ACA","2017","10,660","4,738","2.25",
"SILVER SPRINGS","SIL","2017","8,774","3,439","2.55",
"UNIVERSITY DISTRICT","UND","2017","667","187","3.57",
"AUBURN BAY","AUB","2017","16,429","5,453","3.01",
"WINSTON HEIGHTS/MOUNTVIEW","WIN","2017","3,835","1,680","2.28",
"RIVERBEND","RIV","2017","9,338","3,395","2.75",
"CORNERSTONE","CNS","2017","54","15","3.6",
"RICHMOND","RIC","2017","4,781","2,127","2.25",
"CITYSCAPE","CSC","2017","2,529","676","3.74",
"CEDARBRAE","CED","2017","6,075","2,496","2.43",
"COUGAR RIDGE","CGR","2017","7,072","2,178","3.25",
"SHERWOOD","SHW","2017","5,312","1,584","3.35",
"LOWER MOUNT ROYAL","LMR","2017","3,239","2,178","1.49",
"HOUNSFIELD HEIGHTS/BRIAR HILL","HOU","2017","3,016","1,038","2.91",
"MARTINDALE","MRT","2017","14,708","3,959","3.72",
"WHITEHORN","WHI","2017","11,985","3,627","3.3",
"COUNTRY HILLS","COU","2017","3,806","1,389","2.74",
"EVANSTON","EVN","2017","15,885","4,916","3.23",
"BRITANNIA","BRT","2017","668","285","2.34",
"THORNCLIFFE","THO","2017","8,474","3,520","2.41",
"ALBERT PARK/RADISSON HEIGHTS","ALB","2017","6,745","2,703","2.5",
"KILLARNEY/GLENGARRY","KIL","2017","7,423","3,426","2.17",
"SHAGANAPPI","SHG","2017","1,693","719","2.35",
"NORTH HAVEN UPPER","NHU","2017","620","241","2.57",
"BRENTWOOD","BRE","2017","7,132","3,105","2.3",
"GLENBROOK","GBK","2017","7,209","3,096","2.33",
"BRAESIDE","BRA","2017","5,960","2,490","2.39",
"MCKENZIE LAKE","MCK","2017","13,616","4,589","2.97",
"NORTH HAVEN","NHV","2017","2,376","960","2.48",
"ERIN WOODS","ERI","2017","6,974","2,400","2.91",
"SANDSTONE VALLEY","SAN","2017","5,965","2,091","2.85",
