"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-01","2016","01","01","","1.2","","-12.0","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-02","2016","01","02","","-1.6","","-16.8","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-03","2016","01","03","","-2.7","","-16.3","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-04","2016","01","04","","-2.0","","-12.9","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-05","2016","01","05","","-7.1","","-13.8","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-06","2016","01","06","","-8.6","","-16.6","","-12.6","","30.6","","0.0","","0.0","","0.0","T","0.0","T","10","","34","","35",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-07","2016","01","07","","-9.5","","-15.6","","-12.6","","30.6","","0.0","","0.0","","4.8","","3.2","","11","","35","","37",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-08","2016","01","08","","-13.1","","-22.3","","-17.7","","35.7","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-09","2016","01","09","","-5.0","","-25.5","","-15.3","","33.3","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2016-01-10","2016","01","10","","-1.0","","-16.2","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","13","","","","<31",""
