"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-01","2017","01","01","","-7.8","","-17.4","","-12.6","","30.6","","0.0","","0.0","","3.6","","2.0","","12","","1","","46",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-02","2017","01","02","","-16.1","","-26.1","","-21.1","","39.1","","0.0","","0.0","","0.0","T","0.0","T","14","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-03","2017","01","03","","-15.5","","-22.4","","-19.0","","37.0","","0.0","","0.1","","0.4","","0.3","","14","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-04","2017","01","04","","-7.2","","-17.2","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","13","","35","","43",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-05","2017","01","05","","-3.5","","-15.8","","-9.7","","27.7","","0.0","","0.0","","2.2","","1.2","","13","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-06","2017","01","06","","-9.9","","-17.0","","-13.5","","31.5","","0.0","","","M","3.0","","1.6","","15","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-07","2017","01","07","","-14.9","","-19.2","","-17.1","","35.1","","0.0","","0.0","","0.4","","0.4","","16","","36","","43",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-08","2017","01","08","","-17.4","","-19.8","","-18.6","","36.6","","0.0","","0.0","","0.0","T","0.0","T","16","","19","","37",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-09","2017","01","09","","-19.5","","-23.1","","-21.3","","39.3","","0.0","","","M","4.3","","4.2","","20","","35","","37",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-10","2017","01","10","","-16.2","","-22.1","","-19.2","","37.2","","0.0","","0.0","","0.4","","0.4","","20","","35","","44",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-11","2017","01","11","","-6.0","","-23.1","","-14.6","","32.6","","0.0","","0.0","","0.0","","0.0","","20","","34","","41",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-12","2017","01","12","","-2.9","","-20.1","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","19","","28","","50",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-13","2017","01","13","","-2.6","","-13.4","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","19","","28","","48",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-14","2017","01","14","","6.2","","-14.1","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","16","","28","","52",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-15","2017","01","15","","7.0","","-1.3","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","10","","29","","52",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-16","2017","01","16","","9.6","","-6.3","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","8","","28","","35",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-17","2017","01","17","","10.2","","0.7","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","7","","22","","37",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-18","2017","01","18","","7.7","E","","M","","M","","M","","M","0.0","","0.0","","0.0","","5","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-19","2017","01","19","","9.9","","-0.8","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","5","","27","","39",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-20","2017","01","20","","5.7","","-7.8","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-21","2017","01","21","","2.1","","-10.3","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-22","2017","01","22","","-3.1","","-6.3","","-4.7","","22.7","","0.0","","0.0","","0.2","","0.2","","3","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-23","2017","01","23","","-3.2","","-7.5","","-5.4","","23.4","","0.0","","0.0","","0.0","T","0.0","T","2","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-24","2017","01","24","","0.5","","-11.1","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-25","2017","01","25","","1.6","","-7.2","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-26","2017","01","26","","4.8","","-6.9","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-27","2017","01","27","","7.4","","-7.4","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","2","","29","","65",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-28","2017","01","28","","10.8","","5.8","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","2","","28","","69",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-29","2017","01","29","","13.0","","4.8","","8.9","","9.1","","0.0","","0.0","","0.0","","0.0","","0","T","27","","74",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-30","2017","01","30","","5.3","","-4.7","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","T","26","","63",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-01-31","2017","01","31","","-4.6","","-12.1","","-8.3","","26.3","","0.0","","0.0","","0.2","","0.2","","0","T","34","","50",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-01","2017","02","01","","-7.1","","-11.8","","-9.5","","27.5","","0.0","","0.2","","0.0","","0.2","","0","T","34","","41",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-02","2017","02","02","","-6.2","","-14.7","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-03","2017","02","03","","-11.1","","-18.6","","-14.9","","32.9","","0.0","","0.0","","2.8","","2.8","","0","T","34","","35",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-04","2017","02","04","","-14.2","","-17.4","","-15.8","","33.8","","0.0","","","M","3.6","","2.8","","4","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-05","2017","02","05","","-16.0","","-19.8","","-17.9","","35.9","","0.0","","0.0","","9.6","","8.4","","8","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-06","2017","02","06","","-19.6","","-25.2","","-22.4","","40.4","","0.0","","0.0","","8.6","","7.8","","19","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-07","2017","02","07","","-20.9","","-29.6","","-25.3","","43.3","","0.0","","0.0","","0.0","T","0.0","T","23","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-08","2017","02","08","","-13.7","","-29.5","","-21.6","","39.6","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-09","2017","02","09","","-6.9","","-17.3","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-10","2017","02","10","","5.9","","-16.4","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","23","","27","","50",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-11","2017","02","11","","2.7","","-8.1","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","20","","33","","70",""
"-114.01","51.12","CALGARY INTL A","3031092","2017-02-12","2017","02","12","","6.3","","-4.2","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","15","","28","","65",""
