"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-01","2025","01","01","","-11.4","","-15.7","","-13.6","","31.6","","0.0","","0.0","","1.8","","1.8","","6","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-02","2025","01","02","","-14.6","","-21.2","","-17.9","","35.9","","0.0","","0.0","","0.4","","0.4","","7","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-03","2025","01","03","","-14.3","","-17.9","","-16.1","","34.1","","0.0","","0.0","","0.0","T","0.0","T","6","","16","","43",""
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-04","2025","01","04","","-13.5","","-17.3","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","6","","16","","33",""
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-05","2025","01","05","","-11.0","","-18.7","","-14.9","","32.9","","0.0","","0.0","","0.0","","0.0","","6","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-06","2025","01","06","","0.9","","-14.7","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","6","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-07","2025","01","07","","9.3","","-10.1","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","5","","27","","64",""
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-08","2025","01","08","","9.4","","0.0","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","1","","28","","78",""
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-09","2025","01","09","","2.5","","-7.6","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2025-01-10","2025","01","10","","10.2","","-2.9","","3.7","","14.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","28","","71",""
